,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
194078,40.671196,-73.84296,2.0
183718,40.816776,-73.915306,0.0
198138,40.706543,-73.89947,1.0
789710,40.6717,-73.99155,0.0
177741,40.713497,-73.75714,0.0
465580,40.608433,-74.15544,0.0
832681,40.783844,-73.9799879,1.0
770664,40.698383,-73.78691,2.0
719568,40.675236,-73.97106,0.0
612221,40.589893,-73.79784,1.0
519303,40.580395,-73.95357,1.0
59411,40.75883,-73.981766,0.0
200925,40.82327,-73.86585,1.0
6821,40.649788,-73.9622,0.0
430371,40.635868,-74.00559,0.0
538922,40.700737,-73.99499,0.0
535528,40.836754,-73.90049,0.0
477911,40.67771,-73.982864,0.0
276074,40.667236,-73.770004,0.0
349588,40.6912,-73.88979,0.0
730971,40.748245,-73.976295,0.0
493288,40.590893,-73.80114,2.0
713049,40.760727,-73.973495,0.0
240514,40.750095,-73.81855,0.0
212151,40.645134,-73.90232,0.0
804765,40.580223,-73.95753,1.0
617032,40.679276,-73.92906,1.0
620672,40.86357,-73.92602,1.0
477867,40.84921,-73.83056,0.0
722788,,,0.0
56833,40.65053,-73.90231,2.0
41801,40.68957,-73.85706,0.0
617550,40.67058,-73.93096,2.0
113952,40.727154,-74.005554,0.0
686100,40.58945,-73.960526,0.0
655101,40.6520966,-73.9085592,0.0
584823,40.7603,-73.99499,0.0
755310,40.69118,-73.868065,0.0
749118,40.666294,-73.79899,8.0
233300,,,3.0
197175,40.72247,-73.987144,0.0
551183,40.694813,-73.98327,0.0
444616,40.76478,-73.77361,0.0
434767,40.715412,-73.912834,0.0
197274,40.74196,-73.99722,0.0
579026,40.7879,-73.95368,0.0
154157,40.69094,-73.79058,0.0
384708,40.852146,-73.91741,0.0
410850,40.618816,-73.989655,0.0
578746,40.576885,-74.00323,0.0
846031,40.759056,-73.9031,0.0
707966,40.651974,-73.86542,0.0
533782,40.77309,-73.91108,0.0
628600,40.76532,-73.771904,0.0
620975,40.73396,-73.724,1.0
308947,40.62935,-73.91833,0.0
157666,40.769493,-73.844315,1.0
307944,40.89114,-73.90672,0.0
846217,40.8100528,-73.9251435,0.0
